Year;Month;Ano_Month
1856;9;-0.596
1856;10;-0.550
1856;11;-0.196
1856;12;0.322
1857;1;-0.141
1857;2;-0.238
1857;3;-0.384
1857;4;-0.943
1857;5;-0.962
1857;6;-0.477
1857;7;0.025
1857;8;-0.067
1857;9;-0.337
1857;10;-0.428
1857;11;-0.265
1857;12;0.479
1858;1;0.481
1858;2;-0.592
1858;3;-0.151
1858;4;0.351
1858;5;-0.074
1858;6;0.116
1858;7;-0.178
1858;8;-0.227
1858;9;-0.431
1858;10;0.110
1858;11;0.300
1858;12;-0.717
1859;1;-0.150
1859;2;-0.086
1859;3;-0.004
1859;4;0.708
1859;5;0.596
1859;6;0.101
1859;7;-0.125
1859;8;-0.187
1859;9;-0.569
1859;10;0.180
1859;11;0.301
1859;12;0.135
1860;1;-0.614
1860;2;-0.539
1860;3;-1.705
1860;4;-0.163
1860;5;-0.081
1860;6;-0.069
1860;7;-0.010
1860;8;0.168
1860;9;0.008
1860;10;-0.323
1860;11;-0.991
1860;12;-1.848
1861;1;-1.913
1861;2;-0.798
1861;3;-0.678
1861;4;-0.587
1861;5;-0.627
1861;6;-0.260
1861;7;-0.125
1861;8;0.127
1861;9;-0.564
1861;10;-0.739
1861;11;-0.125
1861;12;-0.510
1862;1;-1.810
1862;2;-1.484
1862;3;-0.973
1862;4;-1.060
1862;5;-0.357
1862;6;-0.473
1862;7;-0.213
1862;8;-0.577
1862;9;-0.837
1862;10;-0.830
1862;11;-1.217
1862;12;-1.789
1863;1;0.395
1863;2;0.091
1863;3;-0.774
1863;4;-0.251
1863;5;-0.092
1863;6;-0.304
1863;7;-0.431
1863;8;-0.586
1863;9;-0.921
1863;10;-1.054
1863;11;-0.632
1863;12;-0.932
1864;1;-0.994
1864;2;-0.618
1864;3;-0.820
1864;4;-0.724
1864;5;-0.059
1864;6;0.095
1864;7;0.022
1864;8;-0.274
1864;9;-0.528
1864;10;-0.327
1864;11;-0.811
1864;12;-1.262
1865;1;0.488
1865;2;-0.921
1865;3;-1.165
1865;4;-0.750
1865;5;-0.165
1865;6;-0.082
1865;7;0.056
1865;8;0.059
1865;9;-0.012
1865;10;0.181
1865;11;0.354
1865;12;-0.671
1866;1;0.562
1866;2;-0.928
1866;3;-0.913
1866;4;-0.451
1866;5;-0.374
1866;6;-0.519
1866;7;0.469
1866;8;-0.215
1866;9;-0.212
1866;10;-0.389
1866;11;0.123
1866;12;0.678
1867;1;-0.007
1867;2;-0.587
1867;3;-0.774
1867;4;-0.053
1867;5;-0.578
1867;6;0.046
1867;7;0.119
1867;8;-0.077
1867;9;0.010
1867;10;0.259
1867;11;0.986
1867;12;0.216
1868;1;-0.662
1868;2;-1.222
1868;3;-0.679
1868;4;-0.050
1868;5;0.017
1868;6;-0.022
1868;7;0.372
1868;8;-0.035
1868;9;-0.486
1868;10;0.277
1868;11;-0.790
1868;12;-0.274
1869;1;-0.090
1869;2;0.769
1869;3;-0.792
1869;4;-0.273
1869;5;0.065
1869;6;0.104
1869;7;0.079
1869;8;0.057
1869;9;0.290
1869;10;-0.197
1869;11;-0.120
1869;12;-0.602
1870;1;-0.575
1870;2;-1.128
1870;3;-0.658
1870;4;-0.277
1870;5;0.048
